# cluster-model prediction; not validated for the periodic solid.
# cluster: Nb3X8 downfolded interlayer dimer (2-orbital generalized Hubbard cluster)
# config: axis=strain, cluster=Nb3X8 downfolded interlayer dimer (2-orbital generalized Hubbard cluster), config_hash=ef2e540d15a7b9893b11ff34814cd09e40a9cdf0cbbae754467959729df571ab, grid_max=0.02, grid_min=-0.02, grid_step=0.0025, halide=Cl, krylov_dim=12, output_dir=results/senseforge/Nb3Cl8_strain, system=Nb3Cl8
x,gap,lower,upper,bracket_width,convergence
-0.02,63.72437686075227,63.72437686075227,63.72437686075227,0.0,exact
-0.0175,64.03223654778674,64.03223654778674,64.03223654778674,0.0,exact
-0.015,64.34071933378743,64.34071933378743,64.34071933378743,0.0,exact
-0.0125,64.64982424188474,64.64982424188474,64.64982424188474,0.0,exact
-0.01,64.95955029528602,64.95955029528602,64.95955029528602,0.0,exact
-0.0075,65.26989651728604,65.26989651728604,65.26989651728604,0.0,exact
-0.005,65.58086193127633,65.58086193127633,65.58086193127633,0.0,exact
-0.0025,65.89244556075596,65.89244556075596,65.89244556075596,0.0,exact
0.0,66.20464642934076,66.20464642934076,66.20464642934076,0.0,exact
0.0025,66.51746356077354,66.51746356077354,66.51746356077354,0.0,exact
0.005,66.83089597893365,66.83089597893365,66.83089597893365,0.0,exact
0.0075,67.14494270784735,67.14494270784735,67.14494270784735,0.0,exact
0.01,67.45960277169684,67.45960277169684,67.45960277169684,0.0,exact
0.0125,67.77487519483032,67.77487519483032,67.77487519483032,0.0,exact
0.015,68.09075900177174,68.09075900177174,68.09075900177174,0.0,exact
0.0175,68.40725321722982,68.40725321722982,68.40725321722982,0.0,exact
0.02,68.72435686610845,68.72435686610845,68.72435686610845,0.0,exact
